Team,GP,points,c,year
Red Bull,Mexican ,25.0,#121F45,2018
Ferrari,Mexican ,33.0,#A6051A,2018
Ferrari,Australian ,40.0,#A6051A,2018
Mercedes,Australian ,22.0,#00A19C,2018
Red Bull,Australian ,20.0,#121F45,2018
McLaren,Australian ,12.0,#FF8000,2018
Renault,Australian ,7.0,#FFF500,2018
Force India,Australian ,0.0,#F596C8,2018
Sauber,Australian ,0.0,#9B0000,2018
Williams,Australian ,0.0,#005AFF,2018
Toro Rosso,Australian ,0.0,#469BFF,2018
Haas F1 Team,Australian ,0.0,#F9F2F2,2018
Ferrari,Bahrain ,25.0,#A6051A,2018
Mercedes,Bahrain ,33.0,#00A19C,2018
Toro Rosso,Bahrain ,12.0,#469BFF,2018
Haas F1 Team,Bahrain ,10.0,#F9F2F2,2018
Renault,Bahrain ,8.0,#FFF500,2018
McLaren,Bahrain ,10.0,#FF8000,2018
Sauber,Bahrain ,2.0,#9B0000,2018
Force India,Bahrain ,1.0,#F596C8,2018
Williams,Bahrain ,0.0,#005AFF,2018
Red Bull,Bahrain ,0.0,#121F45,2018
Red Bull,Chinese ,35.0,#121F45,2018
Mercedes,Chinese ,30.0,#00A19C,2018
Ferrari,Chinese ,19.0,#A6051A,2018
Renault,Chinese ,10.0,#FFF500,2018
McLaren,Chinese ,6.0,#FF8000,2018
Haas F1 Team,Chinese ,1.0,#F9F2F2,2018
Force India,Chinese ,0.0,#F596C8,2018
Williams,Chinese ,0.0,#005AFF,2018
Sauber,Chinese ,0.0,#9B0000,2018
Toro Rosso,Chinese ,0.0,#469BFF,2018
Mercedes,Azerbaijan ,25.0,#00A19C,2018
Ferrari,Azerbaijan ,30.0,#A6051A,2018
Force India,Azerbaijan ,15.0,#F596C8,2018
Renault,Azerbaijan ,10.0,#FFF500,2018
Sauber,Azerbaijan ,8.0,#9B0000,2018
McLaren,Azerbaijan ,8.0,#FF8000,2018
Williams,Azerbaijan ,4.0,#005AFF,2018
Toro Rosso,Azerbaijan ,1.0,#469BFF,2018
